Username,Rapid Rating,Blitz Rating,Puzzle Rating
147theking,1039,619,1377
14based88,1024,803,1873
14dcsscd41,1108,796,1879
14rami14,1300,1054,1509
15gportroyal,832,764,1074
1609vs,1646,1446,1616
165jimbob,583,1092,445
16speaha,517,668,765
16thbn,692,1038,1006
17beans,1705,1500,2047
17donj,710,255,1479
17fateh09,1270,1007,1911
17kiraly17,1149,354,438
17lettersand3numbers,857,825,960
18copes,1099,716,1292
18kgb,1046,662,1469
190201,1116,1248,1951
1974player,713,481,896
1975dannyboy,1250,1205,1558
1987ethan,595,345,786
198destroyer,1001,875,1390
19960331,1335,885,1881
19andrew64,671,514,1386
19dwilli,1410,1491,2007
19kanguy,857,1061,519
19mill,1401,1070,1226
19thomas88,894,614,1407
1amk1ng44,422,293,591
1anderson,1019,763,812
1andonlystevinator,850,698,393
1autochess1,1299,748,1613
1beard,1090,1008,1200
1bhuvaneshkumar12,1145,952,1294
1blackunicorn,1265,1364,1646
1blessedmama,742,578,1000
1dk_what_name_to_pick,888,1020,825
1e1ouchvibritannia,1017,1031,1502
1e4,1124,933,1326
1earner,1561,1370,1625
1easybeat,825,483,414
1expresso,1564,1251,808
1fabled1,1420,1403,1942
1fourstickman,523,151,719
1gilf1hunter69,1230,498,1418
1gnush1,961,546,1761
1h59b,1235,1110,1222
1hunn1d,456,229,793
1ic,1001,944,786
1isfirst,1304,994,1005
1jason,970,357,816
1jesse55,1266,1124,409
1jessie1,1006,569,942
1kenn_e,1057,833,451
1kgray1,1129,938,972
1kk0,662,558,427
1loj,763,347,1154
1markhunt,1274,1652,1501
1mastershifu,1214,1029,629
1mg4y69,1161,821,1107
1michael23,881,392,1310
1nandos,681,783,1489
1ndecisivestrategist,772,419,803
1nethre3aore1,1129,1097,848
1nucleus,825,744,421
1operas1,704,723,791
1pepsiman,758,691,387
1plutonium1,1098,1314,647
1raziel1,701,443,495
1reno2,1504,1146,1966
1scrapmetal1,1071,621,863
1skinny,1250,859,1495
1souporman,525,445,1584
1stimeplayinchess,437,394,795
1tepan,837,807,1440
1thedarkknight1,769,387,616
1tsmebirdy13,1450,882,1749
1ud,912,678,1426
1underdeveloped1,1089,853,800
1velvet,1393,1030,1498
1waffle,1114,674,1082
1whitechocolate1,300,319,387
1woody,895,377,676
1wrongfulgoose6,624,344,481
20000leaguesinspace,1094,803,521
200iqchessgod88,540,500,425
200iqchessmoves,820,411,399
201iqplays,1311,849,1130
2021chessgrandmaster,1000,1323,496
2021marcus,703,753,450
205fritz,1580,1416,1623
20armstrongc,1369,1396,1165
20bob21,332,473,399
20brunsri,1329,1107,1636
20charactersshort,1071,965,790
20kblueberries,1135,982,1278
20mintomidnight,1281,1074,1386
2121j,1051,1094,1712
2176era2165,609,284,463
21chicken,760,511,1402
21coopelia,1258,780,1859
21drose,1085,1353,2008
21hsangtoki,868,693,827
21walkerw,904,590,1084
21zacmu09,270,186,435
2202kerg,1708,1639,2549
2282champ,1733,1859,2316
23blockedbyjames,1087,508,410
23dyn,810,583,801
23garskem,1125,912,1874
23goat96,1061,600,876
23lixi,1120,566,447
23pangz,739,402,1363
23totodile,1202,847,980
240760,535,310,387
257tyh,804,523,1124
25huge-o,296,163,427
25lord,1674,1673,2490
269rox,597,784,1211
27chessy,1301,1280,1012
28akite,1004,885,1653
28pearlfish,943,628,1241
28thsquare,1815,1278,1266
2addicted2pawn,540,467,794
2bad4chess,1082,993,1031
2bad_at_chess,1098,545,1417
2beornot2be,1545,990,1191
2blk4u,1350,1376,1091
2bns,645,487,1070
2bottles,1245,991,1649
2cock,799,678,402
2cool2loose,1058,714,1169
2ded,652,118,671
2dgirlsarebestgirls,1154,613,1190
