Username,Rapid Rating,Blitz Rating,Puzzle Rating
5ah3r,1500,1461,1475
5eisepic,1144,1166,1760
5h1vam,1053,876,1191
5headchamp,860,657,466
5headplai,721,665,1028
5herman5,1066,564,1801
5hitposting,823,502,1431
5ht2a_r,1046,622,1463
5htdeficiency,1687,979,1724
5n0w1,724,468,390
5ninjaboys,760,1239,561
5pecial,1061,701,1082
5sehc,1177,860,1003
5tduban,576,294,693
5thace,924,379,1202
5yardquinn,1039,546,1225
5yearoldgeneral,913,778,1066
6-feet-tall,796,428,1410
62malvern,1819,1595,2732
637nodnol,672,537,588
63twig,1370,916,795
64squareflair,1058,584,1098
666aaron,551,271,429
66diesel,906,861,683
68kai,588,820,877
68moose,988,899,819
6942isverybigbrain,1363,1409,2252
69afroboy69,972,631,1143
69bigweeweebaby420,1314,838,1233
69chessnoob691,1260,896,1784
69fossil,759,1022,591
69fsih420,1091,820,1092
69hahafunnynumber,971,306,1517
69harro4u,1244,1192,1378
69jim69,450,553,723
69mainman,1067,1003,1195
69ohbabyatripple,327,100,473
69queenslayer,939,640,1012
69rayhan69,1001,638,1555
69sk8rboi420,715,893,1368
69slipperygypsies,579,1012,842
69tafru,847,472,1369
69_funny_number_lmao,398,589,786
6beersdeep,1551,1405,434
6chem,379,192,728
6dylan9,1002,286,1625
6exuled,1153,674,1450
6fedlane,528,665,425
6fred6,741,468,422
6herman6,989,758,1558
6howtochess9,1460,1312,1533
6ix9inefan1,1380,1113,1868
6ofspades,997,901,1431
6orlando9,1219,1127,778
6reatmate,915,867,508
6rick6,1317,988,2264
70moonlions,713,544,1333
711lo,921,832,475
71onn,1066,659,1143
7575u,827,693,1126
75greg,456,584,432
7625el,1229,1108,428
7777777apple,1253,969,1220
777ben777,844,1090,1203
777skux,1211,1173,1922
77chris77,1165,1164,1025
77deranged77,484,360,541
77mb77,943,673,1582
77_andres_77,981,862,423
78shags,672,443,412
7amaankhan,1044,980,515
7arvis,659,428,1126
7costanza,412,108,413
7elevin,1083,1054,1480
7kubsoneq7,1010,801,963
7liverpool7,873,1268,468
7lordc,1376,1001,1967
7luigi,819,984,787
7plyordie,1671,1525,2098
7row,1565,941,1070
7thbestcheckerspro,812,662,800
7three1,1135,792,1741
7yler17,955,628,1176
7zer0,858,813,1006
80scrim,1372,993,799
818181818181,888,836,557
84clay,1054,878,1310
84strikes,1121,847,885
8631,1701,1634,2290
8763,1330,1215,1494
886014,625,529,1219
888charms,1310,1416,2142
88legoman,906,652,757
88uwotm88,1221,921,1187
88wadey88,878,621,1351
88yinyang,1177,1124,801
8alakae,765,720,544
8auer,1266,900,1238
8bitsmash,940,507,1337
8fj4nd,271,307,412
8jet88,1405,1290,2011
8juice8,674,334,402
8njmn,556,437,1000
8o6v,417,452,1036
911s3n,1039,1056,426
92344453,1119,1081,2061
95jamesk,1157,1027,1798
960ax3,804,518,1169
97grandmaster,1212,1123,1310
9876543210-1,1284,1034,1309
98ncwj,1159,542,1591
992judah,1151,661,1398
9999100a,957,746,434
99jjj,1164,1018,718
99mmhh,538,274,1139
99tushi05,973,940,1187
99_crepperman,509,594,446
9kthanatos,1068,619,1676
9peaks,1168,834,452
9to5grind,1091,542,437
9vantage06,638,310,787
9yane,1349,1076,1849
9_inch_potato,1180,1033,1600
9_of_diamonds,942,1037,1052
a-a-ron_076,1414,1022,1317
a-janx,628,522,438
a-l-e-x84,913,662,1486
a-nuke,573,768,464
a-voided,730,511,491
a-zarghami,1790,1446,1584
a0_chess,237,285,387
a1discovery,999,592,1006
